record_id,year,state,district,season,crop_type,sowing_date,seed_variety,area_sown_hectares,irrigation_type,rainfall_mm,temperature_min_c,temperature_max_c,temperature_avg_c,humidity_pct,growing_season_days,soil_ph,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,soil_type,soil_moisture_pct,previous_yield_tonnes_ha,yield_trend_pct_yoy,ndvi,yield_tonnes_per_hectare
AGRI-00296,2020,Rajasthan,Jaipur,Rabi,Maize,2020-11-21,P-3396,10.86,Rainfed,884,22.2,37,27.9,57.8,97,6.9,117,81.1,74.9,Sandy Loam,34,4.83,6.3,0.546,3.63
AGRI-00297,2022,Rajasthan,Jodhpur,Rabi,Maize,2022-11-18,HQPM-1,1.81,Rainfed,581,18.1,32.5,23.7,65,99,6.88,118.8,34.6,68.6,Sandy Loam,14.1,4.41,1.8,0.362,1.8
AGRI-00298,2025,Rajasthan,Jodhpur,Kharif,Rice,2025-07-02,BPT-5204,8.59,Rainfed,850.6,21.7,36.4,30.9,81.5,131,6.06,143.1,52.3,44.1,Silty Loam,21.8,3.12,6.9,0.752,2.83
AGRI-00299,2025,Maharashtra,Jalgaon,Rabi,Wheat,2025-10-29,HD-2967,0.45,Irrigated,280.6,11.6,26.5,17.9,66.1,115,7,94.4,52.1,75.7,Clay Loam,40,4.24,1.2,0.727,2.56
AGRI-00300,2018,Karnataka,Mandya,Kharif,Groundnut,2018-06-11,TG-37A,6.74,Irrigated,493.5,21.1,36.6,28.1,66.9,115,6.66,87.4,59.1,47.1,Sandy Loam,38.9,2.49,6.4,0.689,1.81
AGRI-00301,2022,Maharashtra,Nagpur,Kharif,Soybean,2022-06-17,NRC-86,20.75,Drip Irrigated,1157.2,18,29,23.7,64.1,110,6.88,123.7,68.8,23.8,Loamy,40.3,1.66,9,0.686,1.06
AGRI-00302,2023,Rajasthan,Jodhpur,Rabi,Wheat,2023-11-13,GW-322,0.54,Rainfed,273.5,13.9,31.3,21.8,42.3,142,6.14,134.7,55.7,41.5,Loamy,22.1,2.37,5.9,0.689,1.86
AGRI-00303,2023,Madhya Pradesh,Sagar,Kharif,Maize,2023-06-10,DHM-117,10.58,Irrigated,564.8,20.6,33.7,26.6,58.6,99,6.12,144.6,86.9,31,Loamy,45.5,5.89,3.4,0.617,3.69
AGRI-00304,2024,Gujarat,Junagadh,Rabi,Groundnut,2024-11-22,GG-20,4.59,Irrigated,633,19.6,38,28.4,57.3,135,5.67,130.1,62.5,26.1,Sandy Loam,48.6,2.35,7.6,0.57,1.29
AGRI-00305,2024,Punjab,Amritsar,Kharif,Rice,2024-06-04,BPT-5204,1.1,Irrigated,1335,16.9,31.7,23.5,88.7,133,6.47,143.9,81.1,89.7,Clay Loam,33.5,5.3,14.8,0.93,4.45
AGRI-00306,2017,Madhya Pradesh,Bhopal,Rabi,Wheat,2017-10-17,HD-3086,11.37,Irrigated,341.5,13.1,24.9,18.6,50.7,150,7.98,136.7,69,41.1,Loamy,42.9,3.7,5.5,0.83,2.5
AGRI-00307,2022,Gujarat,Surat,Kharif,Soybean,2022-06-16,NRC-86,1.3,Drip Irrigated,926.9,17.3,34.9,25.1,70.8,91,6.37,147.1,71,60.6,Black,39.5,1.8,12.9,0.689,1.61
AGRI-00308,2023,Gujarat,Banaskantha,Kharif,Soybean,2023-07-08,NRC-86,19.15,Rainfed,776.7,17.5,35.5,25.7,57.4,123,6.99,85.1,51,58,Loamy,39.9,1.5,-4.4,0.735,1.08
AGRI-00309,2023,Maharashtra,Kolhapur,Rabi,Wheat,2023-11-15,GW-322,4.97,Irrigated,719.9,18.7,31.9,26,52.7,132,5.8,50.9,73,89.8,Loamy,48.3,3.39,-0.4,0.699,1.99
AGRI-00310,2018,Rajasthan,Jodhpur,Kharif,Rice,2018-07-08,Pusa-44,6.88,Irrigated,995,17.9,35.7,25.9,72.5,149,6.17,95,18.1,107.2,Clay Loam,37,5.5,1.1,0.552,3.38
AGRI-00311,2022,Madhya Pradesh,Bhopal,Kharif,Cotton,2022-06-16,Bt-Cotton,5.63,Rainfed,489.9,23.9,39.8,29.8,72.6,180,6.23,96.9,59.4,67.8,Alluvial,29.3,2.24,3.9,0.649,1.28
AGRI-00312,2023,Karnataka,Kalaburagi,Kharif,Cotton,2023-06-08,Bt-Cotton,2.74,Irrigated,776.2,22.3,36.4,27.4,55.8,179,7.2,62.9,84.1,41.1,Black,31.3,2.01,-3.2,0.485,1.25
AGRI-00313,2023,Rajasthan,Udaipur,Rabi,Wheat,2023-12-11,HD-2967,3.64,Irrigated,568.9,14.3,29.3,23.6,75.5,115,6.81,132.3,34.8,104.5,Clay Loam,38.1,3.19,-12.5,0.739,1.83
AGRI-00314,2021,Karnataka,Dharwad,Kharif,Rice,2021-06-29,Pusa-44,15.57,Rainfed,1193.1,22.1,34.8,29.6,76.3,132,6.45,159,78.6,30.7,Clay Loam,32.3,4.09,-0.2,0.6,2.94
AGRI-00315,2017,Gujarat,Kheda,Kharif,Rice,2017-06-04,Swarna,6.57,Rainfed,1408,20.4,33.8,28.4,78.2,143,6.88,86.5,68,70.2,Silty Loam,23.8,4.76,-7.5,0.63,2.54
AGRI-00316,2025,Rajasthan,Udaipur,Kharif,Cotton,2025-06-19,RCH-2,0.73,Rainfed,321,18.6,34.2,27.8,49.6,154,6.79,122.2,22.4,75.8,Sandy Loam,49.2,2.26,0.6,0.543,0.81
AGRI-00317,2023,Madhya Pradesh,Ujjain,Kharif,Soybean,2023-06-19,NRC-37,1.59,Irrigated,977.4,18.8,34.8,27.9,48.8,108,6.51,56.9,100.7,65.4,Loamy,40,2.23,5.3,0.604,1.08
AGRI-00318,2023,Gujarat,Kheda,Kharif,Soybean,2023-06-18,NRC-86,5.79,Rainfed,722.9,15.6,28.3,22.8,59.5,124,6.74,108,71.5,54.7,Loamy,23.6,1.76,6.6,0.654,1.07
AGRI-00319,2022,Madhya Pradesh,Bhopal,Kharif,Groundnut,2022-07-17,GG-20,10.26,Irrigated,961.9,22.2,35.7,27.3,58.6,125,7.33,93.7,60,64.6,Red Loam,46.6,2.02,9.2,0.781,1.52
AGRI-00320,2024,Madhya Pradesh,Indore,Kharif,Soybean,2024-07-29,NRC-37,2.63,Rainfed,1055.7,19.5,32.6,25,70.5,112,7.16,100.4,54.6,63.7,Black,46,1.51,-1,0.47,0.91
AGRI-00321,2025,Rajasthan,Kota,Kharif,Soybean,2025-07-25,NRC-86,0.45,Rainfed,618.9,12.9,27.3,22.3,77.9,106,6.88,127.9,29.9,31,Sandy Loam,32,1.82,1.4,0.611,1.02
AGRI-00322,2021,Maharashtra,Nashik,Rabi,Wheat,2021-11-15,HD-3086,1.22,Drip Irrigated,180,13.9,29.7,21.2,57.1,119,6.47,118.7,58,71.2,Loamy,39.8,3.57,-1.3,0.599,1.82
AGRI-00323,2019,Madhya Pradesh,Sagar,Kharif,Rice,2019-06-06,BPT-5204,2.22,Rainfed,1176.3,24.2,39.5,32.2,91.7,136,6.91,70.8,60.7,71.3,Clay Loam,21.8,4.46,-10.6,0.612,2.16
AGRI-00324,2017,Karnataka,Mandya,Kharif,Cotton,2017-06-08,Bt-Cotton,3.27,Irrigated,697,21.6,36.9,27.2,53.7,189,6.13,77,75,77.6,Alluvial,53,2.14,0.5,0.552,1.13
AGRI-00325,2021,Madhya Pradesh,Bhopal,Kharif,Rice,2021-06-21,Pusa-44,1.12,Irrigated,1085.4,19.6,34.6,26.9,67.2,146,5.61,142,40.8,64.1,Clay Loam,38.5,4.56,-7.4,0.825,3.07
AGRI-00326,2025,Karnataka,Mysuru,Rabi,Wheat,2025-11-10,GW-322,0.94,Rainfed,610.1,18.2,29.1,23.9,59.3,141,8.17,125.8,47.6,59.6,Clay Loam,26.1,5.08,-10.9,0.473,1.36
AGRI-00327,2024,Karnataka,Dharwad,Rabi,Wheat,2024-12-09,GW-322,5.67,Rainfed,569,14.7,31.1,20.9,69.8,146,6.84,66.4,49.6,75.8,Clay Loam,40.9,3.61,-10.3,0.632,2.16
AGRI-00328,2018,Karnataka,Dharwad,Rabi,Wheat,2018-11-21,GW-322,8.92,Drip Irrigated,558.2,19.2,31.3,24.3,68.8,135,7.23,150.5,38.2,36.6,Clay Loam,30.1,2.58,-2.2,0.722,2.42
AGRI-00329,2024,Karnataka,Belagavi,Kharif,Cotton,2024-06-04,RCH-2,2.21,Irrigated,807.5,18.3,31,24.9,61.6,185,7.03,139.8,53.4,32.1,Black,41.4,2.22,10.2,0.795,2.15
AGRI-00330,2024,Madhya Pradesh,Sagar,Kharif,Groundnut,2024-06-30,Kadiri-6,0.67,Drip Irrigated,750.1,16.8,30.5,24.7,68,136,6.41,82,70.7,50.2,Sandy Loam,40.3,2.37,-6.7,0.637,1.7
AGRI-00331,2020,Punjab,Patiala,Rabi,Wheat,2020-11-09,HD-2967,8.33,Irrigated,180,22.8,37.6,28.1,64.6,123,5.88,127.4,33.7,68.9,Clay Loam,38.6,3.93,7.1,0.739,1.63
AGRI-00332,2017,Gujarat,Kheda,Kharif,Rice,2017-07-23,Swarna,1.69,Irrigated,1201.7,19.3,34.6,24.6,72.3,131,5.31,25,48.1,33.4,Clay Loam,48.7,3.84,2,0.568,2.24
AGRI-00333,2020,Rajasthan,Kota,Kharif,Rice,2020-07-01,BPT-5204,4.22,Irrigated,1523.9,16.6,30.6,23.9,69.9,136,6.76,117.9,40.3,99.5,Clay,53.4,4.57,-8.1,0.575,2.21
AGRI-00334,2022,Gujarat,Kheda,Kharif,Maize,2022-07-10,P-3396,0.52,Irrigated,709.7,18.8,34.1,24.9,62.8,129,6.78,79.1,57.9,38.2,Silty Loam,36.3,4.96,6.5,0.823,4.32
AGRI-00335,2020,Rajasthan,Kota,Kharif,Cotton,2020-06-03,Bt-Cotton,6.87,Rainfed,1008.9,15.2,28.9,20.8,61.2,184,6.47,96.8,28,16.9,Sandy Loam,31.7,2.61,-0.6,0.633,0.89
AGRI-00336,2017,Maharashtra,Pune,Kharif,Soybean,2017-07-26,JS-335,2.13,Irrigated,867.5,15.3,28.7,20.7,60.5,101,6.68,162.2,54.3,56.7,Loamy,44.6,1.31,6.3,0.493,1.28
AGRI-00337,2021,Gujarat,Ahmedabad,Rabi,Wheat,2021-11-19,HD-3086,6.7,Rainfed,441.7,10.8,26.8,17.6,46.4,128,6.21,99.1,65.4,53,Loamy,36.9,3.16,4.7,0.435,2.07
AGRI-00338,2024,Punjab,Bathinda,Rabi,Wheat,2024-11-24,HD-3086,0.59,Rainfed,557.4,17.4,34,25.5,54.4,131,6.16,171.6,75.3,54.4,Loamy,15.6,3.44,3.6,0.661,1.66
AGRI-00339,2019,Maharashtra,Nagpur,Rabi,Groundnut,2019-11-21,GG-20,0.73,Irrigated,717.7,24.6,39.3,32,65.2,128,6.24,90.2,41.2,46,Sandy Loam,43.9,2.39,-4.7,0.661,1.32
AGRI-00340,2019,Rajasthan,Udaipur,Kharif,Maize,2019-07-09,DHM-117,5.99,Drip Irrigated,754.2,19.8,33.2,25.5,75.7,111,6.8,86.5,43.8,36.1,Loamy,38.4,4.6,4.3,0.529,3.14
AGRI-00341,2024,Gujarat,Banaskantha,Rabi,Wheat,2024-10-15,HD-3086,1.16,Rainfed,779.8,15.7,31.6,21.1,75.9,119,5.99,130.8,37.7,36.2,Clay Loam,27.8,3.2,6.1,0.61,1.43
AGRI-00342,2020,Madhya Pradesh,Ujjain,Kharif,Cotton,2020-06-21,Bunny-Bt,0.63,Irrigated,672.3,21.4,38.2,28.1,71.7,150,6.6,99.2,8,36.6,Sandy Loam,55.3,2.37,7,0.667,1.2
AGRI-00343,2020,Maharashtra,Pune,Kharif,Rice,2020-06-17,BPT-5204,0.98,Irrigated,1290,22.3,38.2,31.6,92.4,124,6.46,96.5,61.2,64.7,Clay Loam,34.6,4.45,-5.3,0.573,2.74
AGRI-00344,2024,Punjab,Jalandhar,Rabi,Maize,2024-11-16,HQPM-1,1.4,Irrigated,712.1,19.4,34.7,26.7,67.1,100,6.53,32.1,98,8,Sandy Loam,38.7,3.69,1.9,0.769,2.79
AGRI-00345,2020,Gujarat,Banaskantha,Rabi,Wheat,2020-11-29,GW-322,3.63,Rainfed,536.5,14,27.1,22.1,52.9,127,6.7,117.3,32.1,63,Loamy,33.5,3.04,22.9,0.695,2.59
AGRI-00346,2024,Gujarat,Banaskantha,Rabi,Wheat,2024-11-20,GW-322,6.1,Irrigated,257.2,12.5,26.2,20.4,51.5,125,7.1,135,86.8,26.2,Clay Loam,59.9,3.78,7.7,0.697,1.74
AGRI-00347,2024,Punjab,Patiala,Kharif,Soybean,2024-06-24,NRC-86,0.67,Rainfed,813.4,13.2,28.4,21.5,57.3,115,7.21,145.4,37.6,103,Sandy Loam,33,1.64,3.2,0.446,0.91
AGRI-00348,2019,Punjab,Jalandhar,Kharif,Cotton,2019-07-13,Bunny-Bt,0.45,Irrigated,752.2,19.5,31.6,26.2,27.1,161,7.1,171.7,64.9,30.4,Alluvial,33.8,2.36,-2.6,0.66,0.82
AGRI-00349,2025,Maharashtra,Pune,Kharif,Soybean,2025-07-15,JS-335,7.54,Irrigated,937.5,19.9,31.5,25.4,69.8,122,6.82,153.6,53.5,34.6,Loamy,37.8,1.72,7.8,0.468,1.49
AGRI-00350,2018,Karnataka,Kalaburagi,Rabi,Wheat,2018-11-22,GW-322,20.42,Irrigated,411.1,14.3,28.8,22.2,64.1,125,5.78,69.2,29.1,42.2,Loamy,34.6,3.26,9.3,0.692,2.21
AGRI-00351,2022,Madhya Pradesh,Sagar,Kharif,Cotton,2022-07-17,Bunny-Bt,4.75,Rainfed,1013.6,20.1,35.4,26.1,57.3,154,7.24,163.2,77.4,33.9,Black,24.5,1.66,-2.2,0.794,1.42
AGRI-00352,2020,Rajasthan,Kota,Kharif,Groundnut,2020-07-21,TG-37A,3.25,Irrigated,533.1,19.7,30.4,24.7,64.7,115,6.28,183.2,93.1,32.2,Red Loam,42.1,2.78,4.6,0.661,1.89
AGRI-00353,2024,Maharashtra,Jalgaon,Rabi,Wheat,2024-11-02,GW-322,14.41,Rainfed,845.3,13.6,31.9,22.4,65.6,140,5.96,102.1,43.4,71.7,Clay Loam,27.2,3.7,4.6,0.614,1.75
AGRI-00354,2022,Rajasthan,Kota,Kharif,Cotton,2022-06-28,Bt-Cotton,2.02,Irrigated,608.9,21.1,37,27.5,41.4,167,7.44,43.7,46,77.3,Alluvial,36.6,2.29,2.2,0.587,1.24
AGRI-00355,2018,Karnataka,Mandya,Kharif,Soybean,2018-06-06,NRC-37,3.24,Drip Irrigated,1114.4,17.9,35.4,25.7,71,116,5.8,95.4,50.4,71.4,Sandy Loam,46.1,2.23,-0.4,0.839,1.11
AGRI-00356,2019,Maharashtra,Nashik,Kharif,Cotton,2019-06-03,RCH-2,14.13,Irrigated,725.6,13.9,29.3,22,64.9,173,6.31,141.8,31.5,74.2,Black,27,2.67,-10.2,0.522,1.31
AGRI-00357,2019,Gujarat,Junagadh,Rabi,Wheat,2019-10-26,HD-3086,4.31,Rainfed,431.6,15.8,33.4,25.3,58.9,122,6.4,127.4,48.1,91.2,Clay Loam,36.3,3.8,7.7,0.67,3.02
AGRI-00358,2019,Gujarat,Banaskantha,Kharif,Soybean,2019-07-15,NRC-37,1.53,Rainfed,574.7,20.4,32.7,27.2,84,124,6.96,57.5,42.8,42.3,Loamy,37.9,1.38,-1.7,0.425,0.67
AGRI-00359,2017,Rajasthan,Udaipur,Kharif,Soybean,2017-07-24,NRC-37,0.83,Irrigated,538.5,19.1,35,24.9,64.8,96,6.16,109,40.7,68.4,Loamy,50,1.44,19.7,0.594,1.24
AGRI-00360,2024,Punjab,Ludhiana,Kharif,Rice,2024-06-27,Pusa-44,14.88,Irrigated,1204.8,27.6,41.4,32.7,82.1,131,7.39,140.8,9.1,96.7,Clay Loam,33.8,4.29,-2.4,0.58,2.23
AGRI-00361,2017,Karnataka,Dharwad,Kharif,Cotton,2017-06-08,RCH-2,1.82,Irrigated,777.9,19.9,35.1,27,60.9,156,6.95,129.3,54.8,8,Sandy Loam,30.8,1.34,-1.6,0.641,1.47
AGRI-00362,2025,Madhya Pradesh,Bhopal,Kharif,Cotton,2025-07-08,Bt-Cotton,16.74,Irrigated,685.9,18.2,29.1,23.4,52.1,173,5.7,98.6,56.4,67.3,Black,31.4,2.77,8.2,0.783,1.73
AGRI-00363,2019,Madhya Pradesh,Indore,Kharif,Cotton,2019-06-02,Bt-Cotton,1.54,Irrigated,623.9,19.3,33.7,25.6,62.5,156,7.87,94.7,60.7,8,Sandy Loam,36.4,2.15,2.6,0.731,1.62
AGRI-00364,2023,Karnataka,Dharwad,Kharif,Rice,2023-06-18,Swarna,18.52,Rainfed,1061.1,21.8,40.2,29.9,90.8,145,6.63,123.3,32.9,59,Clay Loam,31.7,3.15,7.5,0.603,2.8
AGRI-00365,2019,Maharashtra,Nagpur,Rabi,Groundnut,2019-11-04,GG-20,3.9,Irrigated,852,20.7,34,28.3,51.6,102,6.55,25,57.2,8,Sandy Loam,50.6,2.65,0.2,0.765,1.56
AGRI-00366,2019,Maharashtra,Nagpur,Kharif,Cotton,2019-06-08,Bt-Cotton,0.85,Irrigated,549.2,17.7,33.4,26,38.1,184,7.02,156.1,31.2,101.4,Black,43.1,2.1,5.7,0.848,1.54
AGRI-00367,2025,Rajasthan,Udaipur,Kharif,Soybean,2025-06-07,NRC-86,5.43,Rainfed,864.8,15,29.5,22.7,63.4,106,6.5,103.7,33.9,82.1,Loamy,21.5,2.26,-5.9,0.599,0.87
AGRI-00368,2020,Maharashtra,Jalgaon,Rabi,Groundnut,2020-11-01,GG-20,0.41,Drip Irrigated,785.9,20,35.5,28.4,68.3,124,6.99,71.1,63.7,29.8,Red Loam,42.8,3.26,8.3,0.573,1.84
AGRI-00369,2017,Punjab,Bathinda,Kharif,Rice,2017-06-11,Swarna,0.55,Rainfed,1146,17.2,31.9,26.7,61.4,134,7.46,136.8,24,88.2,Silty Loam,28,3.59,4.8,0.542,2.01
AGRI-00370,2021,Rajasthan,Bikaner,Kharif,Groundnut,2021-06-05,GG-20,8.7,Rainfed,657.8,17.1,31.4,25.8,59.6,117,7.33,158.6,56.1,32.9,Sandy Loam,40.2,2.26,-0.5,0.583,1.36
AGRI-00371,2023,Madhya Pradesh,Bhopal,Rabi,Groundnut,2023-11-15,TG-37A,1.23,Irrigated,526.8,20,33.4,26.1,64.5,128,6.44,142.6,53.4,44.8,Red Loam,56.4,2.05,3.2,0.644,1.32
AGRI-00372,2022,Maharashtra,Kolhapur,Kharif,Maize,2022-06-27,DHM-117,0.84,Irrigated,953.7,20.1,33.6,28,65.6,113,7.02,148.3,57.6,96.3,Silty Loam,47.5,4.61,0.1,0.717,3.53
AGRI-00373,2022,Punjab,Amritsar,Kharif,Soybean,2022-06-08,NRC-37,1.45,Rainfed,357.3,22.5,36.2,28.5,68.9,124,7.84,110,45.4,52,Sandy Loam,22.5,1.44,7.4,0.522,0.63
AGRI-00374,2023,Gujarat,Junagadh,Kharif,Soybean,2023-07-18,NRC-37,8.98,Irrigated,669.8,15.8,33.5,23.6,65.3,115,6.71,49.5,76.2,63.8,Sandy Loam,45.5,1.72,-8.5,0.649,1.08
AGRI-00375,2022,Gujarat,Junagadh,Kharif,Soybean,2022-07-21,JS-335,0.43,Rainfed,784.3,20.1,31.4,25.5,66.1,102,6.9,80,46,43.9,Black,31,2.32,6.8,0.653,1.13
AGRI-00376,2022,Punjab,Amritsar,Kharif,Cotton,2022-06-19,Bunny-Bt,2.66,Rainfed,434.7,19,33.8,24.5,59.7,183,6.74,103.4,50.5,44.3,Sandy Loam,35.4,2.29,0.9,0.714,1.31
AGRI-00377,2019,Karnataka,Belagavi,Kharif,Soybean,2019-07-16,NRC-86,0.65,Rainfed,906.9,16.3,34.7,24.7,64.4,105,7,93.4,76.6,47.5,Loamy,25.7,2.07,7.7,0.408,0.95
AGRI-00378,2025,Rajasthan,Bikaner,Kharif,Soybean,2025-06-03,JS-335,0.4,Rainfed,1424.6,16.9,33.1,24.8,40.4,107,7.45,102.9,66.9,26.8,Loamy,28.5,1.96,-6.2,0.433,0.25
AGRI-00379,2022,Rajasthan,Kota,Rabi,Groundnut,2022-12-10,TG-37A,7.32,Drip Irrigated,394.2,20.3,35.1,27.7,56.4,127,7.7,130.1,37.6,36.1,Red Loam,38.1,2.34,2.8,0.701,1.37
AGRI-00380,2022,Karnataka,Mysuru,Kharif,Cotton,2022-07-27,RCH-2,16.77,Irrigated,478.7,12.8,29.6,21,79.3,155,6.47,137.1,80.7,82.2,Black,37.4,2.34,3.5,0.593,1.22
AGRI-00381,2022,Gujarat,Junagadh,Kharif,Groundnut,2022-06-09,Kadiri-6,2.63,Irrigated,664,20.9,34.1,28.8,53.6,140,6.89,103.4,58.3,77.3,Loamy,39.5,2.42,9.2,0.436,1.47
AGRI-00382,2018,Madhya Pradesh,Ujjain,Kharif,Maize,2018-07-16,DHM-117,1.57,Drip Irrigated,798.9,16.7,31.4,26.1,62.2,128,6.89,116.5,74.2,57.1,Silty Loam,50.1,7.17,8.7,0.809,4.42
AGRI-00383,2021,Madhya Pradesh,Sagar,Rabi,Maize,2021-12-13,HQPM-1,1.05,Rainfed,761,14.7,29.6,22.8,66.1,108,6.24,122,45.3,57.3,Loamy,48.6,5.25,5.9,0.535,2.91
AGRI-00384,2019,Maharashtra,Kolhapur,Kharif,Soybean,2019-07-01,NRC-37,1.81,Rainfed,835.5,17.9,34.3,24.3,64.8,110,6.83,122.2,37.8,51,Black,32.4,2.08,1.6,0.464,1.04
AGRI-00385,2024,Karnataka,Kalaburagi,Kharif,Cotton,2024-06-12,RCH-2,2.32,Irrigated,620.6,22.1,34.5,27.5,68.4,158,6.86,69.4,54,96.6,Sandy Loam,31.2,2.02,6.5,0.736,1.64
AGRI-00386,2022,Maharashtra,Pune,Kharif,Groundnut,2022-07-13,TG-37A,8.84,Irrigated,547.8,23.5,38.9,30.1,62.4,137,6.28,119.1,50.1,66.3,Sandy Loam,26.8,2.37,2.4,0.857,2.22
AGRI-00387,2023,Rajasthan,Jodhpur,Kharif,Soybean,2023-06-16,NRC-37,1.04,Rainfed,878.8,16.4,28.4,22.1,74.7,110,7.13,72.1,83.2,81.4,Loamy,33.2,1.58,-7.3,0.731,0.94
AGRI-00388,2024,Punjab,Patiala,Kharif,Groundnut,2024-06-29,GG-20,1.15,Irrigated,979.9,21.4,35.1,29.4,65.4,103,6.49,60.3,62.5,72.9,Loamy,31,2.35,3.3,0.651,1.47
AGRI-00389,2020,Madhya Pradesh,Jabalpur,Kharif,Cotton,2020-07-07,RCH-2,3.75,Irrigated,395.3,17,31.5,23.6,64.4,174,6.6,134,26.2,75.8,Alluvial,32.6,1.66,16.3,0.61,1.41
AGRI-00390,2024,Punjab,Ludhiana,Rabi,Wheat,2024-11-03,HD-3086,12.73,Drip Irrigated,448,8.6,23.1,16.8,59.7,126,7.58,25,71.6,79,Loamy,41.5,3.7,1.3,0.719,2.19
AGRI-00391,2023,Punjab,Jalandhar,Kharif,Cotton,2023-06-19,Bt-Cotton,0.93,Drip Irrigated,969.3,21.6,32.9,27.5,60.3,186,7.37,107.2,52.5,23.2,Sandy Loam,31.3,2.2,2.2,0.672,1.42
AGRI-00392,2023,Madhya Pradesh,Bhopal,Rabi,Wheat,2023-12-07,GW-322,1.25,Irrigated,597.8,14.5,27.3,22.2,55,142,6.81,111.9,112.6,79.5,Loamy,35.5,3.1,-3.6,0.499,2.56
AGRI-00393,2021,Rajasthan,Udaipur,Kharif,Cotton,2021-07-09,Bunny-Bt,3.87,Irrigated,736.5,20.8,33.6,27.6,52.6,189,6.91,109.5,46.8,62.2,Alluvial,27.2,1.18,1.7,0.648,1.59
AGRI-00394,2024,Maharashtra,Nashik,Kharif,Rice,2024-07-18,Swarna,1.87,Irrigated,1351.6,20.8,33.7,28,74.4,149,6.28,80,83.9,43.1,Clay,39.2,4.52,1.5,0.827,3.27
AGRI-00395,2020,Gujarat,Banaskantha,Rabi,Maize,2020-12-05,P-3396,11.59,Rainfed,577.5,18.4,32.5,24.5,54,108,6.65,105.8,61.4,48.2,Sandy Loam,39.7,4.41,-1.6,0.601,2.73
AGRI-00396,2024,Maharashtra,Pune,Rabi,Wheat,2024-10-27,HD-3086,20.02,Irrigated,538.2,14.2,29.8,22.1,68,141,6.36,133,50.9,55.6,Clay Loam,35.4,2.7,-5.8,0.591,2.52
AGRI-00397,2023,Karnataka,Mandya,Rabi,Maize,2023-11-25,DHM-117,0.83,Drip Irrigated,935.9,13.6,30.6,20.3,74.5,128,5.95,99.6,52.8,47.6,Sandy Loam,29.6,5.18,-7,0.778,3.86
AGRI-00398,2021,Gujarat,Ahmedabad,Kharif,Groundnut,2021-07-12,Kadiri-6,1.5,Drip Irrigated,793.8,21.9,32.9,27.7,52.1,116,6.75,83.9,44.1,117.2,Loamy,37.3,2.94,-1.3,0.769,1.79
AGRI-00399,2024,Karnataka,Dharwad,Rabi,Groundnut,2024-11-28,GG-20,2.95,Drip Irrigated,554.8,17.2,30.7,22.7,65.8,133,7.28,64,8,80.6,Loamy,22.7,2.18,-7.6,0.731,1.46
AGRI-00400,2024,Karnataka,Belagavi,Kharif,Cotton,2024-07-07,RCH-2,1.72,Rainfed,919.7,18.2,35.1,25,50.6,163,6.52,102.4,72.7,53.2,Alluvial,27.4,2.17,-5.2,0.684,1.31
AGRI-00401,2024,Rajasthan,Jodhpur,Rabi,Maize,2024-11-08,DHM-117,3.5,Irrigated,516.1,18.8,35.5,25.5,43.1,97,6.77,62.1,74.9,66.9,Loamy,37.1,3.29,4.2,0.619,2.82
AGRI-00402,2021,Rajasthan,Bikaner,Kharif,Rice,2021-06-28,Swarna,4.37,Irrigated,900,20.8,38.8,29.5,76.7,131,5.69,58.2,53.3,112.3,Silty Loam,52.6,5.05,12.5,0.762,3.53
AGRI-00403,2023,Punjab,Jalandhar,Kharif,Maize,2023-07-07,DHM-117,3.42,Rainfed,767.3,15.5,29.7,23.3,72.9,104,6.8,100.7,8,8,Silty Loam,29.9,5.45,1.9,0.682,2.9
AGRI-00404,2024,Punjab,Jalandhar,Kharif,Soybean,2024-07-10,NRC-37,2.48,Irrigated,832.8,14.8,29.9,22.4,69,101,7.42,132.4,54.2,51.4,Loamy,39,1.67,2.3,0.689,1.32
AGRI-00405,2018,Madhya Pradesh,Ujjain,Kharif,Cotton,2018-06-06,Bunny-Bt,0.73,Rainfed,705.6,15.6,34.7,24.9,50.1,181,7.16,26.9,58.6,74.5,Alluvial,28.9,2.39,-9.4,0.542,1.1
AGRI-00406,2017,Maharashtra,Nagpur,Kharif,Rice,2017-07-01,BPT-5204,0.65,Irrigated,1105,18.5,34.2,27.6,88.5,146,6.79,172.4,41.8,90.2,Silty Loam,44.3,4.37,1.2,0.749,3.61
AGRI-00407,2022,Punjab,Amritsar,Kharif,Rice,2022-06-13,Pusa-44,3.42,Rainfed,1339.1,22.5,37.7,31.5,72.6,133,6.13,81.3,36.9,18.3,Clay,34.8,5.24,10,0.595,2.78
AGRI-00408,2024,Punjab,Amritsar,Rabi,Groundnut,2024-12-14,GG-20,15.2,Drip Irrigated,857.9,23.5,40.3,30.5,55.9,112,6.9,54.5,38.7,59.7,Loamy,30.6,3.02,-2.3,0.633,1.5
AGRI-00409,2017,Maharashtra,Nashik,Kharif,Cotton,2017-06-21,Bunny-Bt,10.93,Irrigated,637.4,14.4,29.4,21,58.1,174,6.49,101.2,20.4,97.9,Sandy Loam,45.3,1.54,-11.7,0.564,1.08
AGRI-00410,2021,Karnataka,Dharwad,Rabi,Maize,2021-10-17,HQPM-1,1.61,Rainfed,559.9,13.3,28.7,22.4,64.5,98,5.55,123.9,88.8,80.1,Sandy Loam,22.7,4.09,-9.6,0.595,2.45
